tinh,huyen,xa,diaban,hoso,m5b2c1,m5b2c1a,m5b2c2,m5b2c3
101,3,13.0,8,15,308.0,,670.0,0.0
101,3,13.0,8,15,301.0,,400.0,0.0
101,3,13.0,8,15,317.0,,30.0,0.0
101,3,13.0,8,15,311.0,,260.0,0.0
101,3,13.0,8,15,307.0,,250.0,0.0
101,3,13.0,8,15,322.0,,300.0,0.0
101,3,13.0,8,15,306.0,,150.0,0.0
101,3,13.0,8,15,305.0,,210.0,0.0
101,3,13.0,8,15,314.0,,70.0,0.0
101,5,3.0,17,13,325.0,,2840.0,0.0
101,5,3.0,17,13,321.0,,267.0,0.0
101,5,3.0,17,13,306.0,,148.0,0.0
101,5,3.0,17,13,309.0,,235.0,0.0
101,5,3.0,17,13,333.0,,614.0,0.0
101,5,3.0,17,13,313.0,,88.0,0.0
101,5,3.0,17,13,302.0,,2032.0,0.0
101,5,3.0,17,13,319.0,,400.0,0.0
101,5,3.0,17,13,308.0,,780.0,0.0
101,5,3.0,17,13,304.0,,50.0,100.0
101,5,3.0,17,13,399.0,,2797.0,0.0
101,5,3.0,17,13,320.0,,330.0,0.0
101,5,3.0,17,13,317.0,,213.0,0.0
101,5,3.0,17,13,310.0,,100.0,0.0
101,5,3.0,17,14,317.0,,200.0,0.0
101,5,3.0,17,14,308.0,,1320.0,0.0
101,5,3.0,17,14,302.0,,2640.0,0.0
101,5,3.0,17,14,320.0,,400.0,0.0
101,5,3.0,17,14,319.0,,360.0,0.0
101,5,3.0,17,14,325.0,,3260.0,0.0
101,5,3.0,17,14,333.0,,550.0,0.0
101,5,3.0,17,14,304.0,,150.0,0.0
101,5,3.0,17,14,310.0,,67.0,0.0
101,5,3.0,17,14,309.0,,210.0,60.0
101,5,3.0,17,14,331.0,,650.0,0.0
101,5,3.0,17,14,314.0,,250.0,130.0
101,5,3.0,17,14,321.0,,280.0,0.0
101,5,3.0,17,14,306.0,,260.0,0.0
101,5,3.0,17,20,321.0,,720.0,0.0
101,5,3.0,17,20,318.0,,220.0,0.0
101,5,3.0,17,20,303.0,,150.0,0.0
101,5,3.0,17,20,306.0,,370.0,0.0
101,5,3.0,17,20,307.0,,420.0,0.0
101,5,3.0,17,20,317.0,,330.0,0.0
101,5,3.0,17,20,304.0,,300.0,0.0
101,5,3.0,17,20,302.0,,4230.0,550.0
101,5,3.0,17,20,324.0,,410.0,0.0
101,5,3.0,17,20,312.0,,410.0,0.0
101,5,3.0,17,20,310.0,,125.0,0.0
101,5,3.0,17,20,308.0,,2630.0,0.0
101,5,3.0,17,20,399.0,,3988.0,0.0
101,5,3.0,17,20,301.0,,690.0,0.0
101,5,3.0,17,20,333.0,,870.0,0.0
101,5,3.0,17,20,320.0,,150.0,0.0
101,5,3.0,17,20,325.0,,4020.0,0.0
101,5,3.0,17,20,309.0,,423.0,0.0
101,5,3.0,17,20,314.0,,370.0,0.0
101,5,11.0,7,13,308.0,,250.0,0.0
101,5,11.0,7,13,306.0,,40.0,0.0
101,5,11.0,7,13,333.0,,150.0,0.0
101,5,11.0,7,13,325.0,,850.0,0.0
101,5,11.0,7,13,318.0,,50.0,0.0
101,5,11.0,7,13,310.0,,20.0,0.0
101,5,11.0,7,13,399.0,,820.0,0.0
101,5,11.0,7,13,320.0,,170.0,0.0
101,5,11.0,7,13,304.0,,30.0,0.0
101,5,11.0,7,13,307.0,,350.0,0.0
101,5,11.0,7,13,309.0,,250.0,0.0
101,5,11.0,7,13,301.0,,200.0,0.0
101,5,11.0,7,13,317.0,,100.0,0.0
101,5,11.0,7,13,302.0,,950.0,0.0
101,5,11.0,7,14,304.0,,100.0,0.0
101,5,11.0,7,14,321.0,,120.0,0.0
101,5,11.0,7,14,320.0,,160.0,0.0
101,5,11.0,7,14,305.0,,370.0,0.0
101,5,11.0,7,14,303.0,,40.0,0.0
101,5,11.0,7,14,326.0,,360.0,0.0
101,5,11.0,7,14,331.0,,540.0,0.0
101,5,11.0,7,14,319.0,,95.0,0.0
101,5,11.0,7,14,325.0,,2430.0,0.0
101,5,11.0,7,14,316.0,,700.0,0.0
101,5,11.0,7,14,317.0,,230.0,0.0
101,5,11.0,7,14,312.0,,150.0,0.0
101,5,11.0,7,14,333.0,,500.0,0.0
101,5,11.0,7,14,306.0,,234.0,0.0
101,5,11.0,7,14,301.0,,600.0,0.0
101,5,11.0,7,14,310.0,,50.0,0.0
101,5,11.0,7,14,302.0,,3940.0,0.0
101,5,11.0,7,14,309.0,,820.0,0.0
101,5,11.0,7,14,324.0,,260.0,0.0
101,5,11.0,7,14,308.0,,780.0,0.0
101,5,11.0,7,14,322.0,,100.0,0.0
101,5,11.0,7,14,307.0,,1200.0,0.0
101,5,11.0,7,15,326.0,,360.0,0.0
101,5,11.0,7,15,311.0,,120.0,0.0
101,5,11.0,7,15,308.0,,520.0,0.0
101,5,11.0,7,15,302.0,,2000.0,0.0
101,5,11.0,7,15,333.0,,150.0,0.0
101,5,11.0,7,15,307.0,,1200.0,0.0
