tinh,huyen,xa,diaban,hoso,m7c1,m7c2,m7c3,m7c4,m7c5,m7c6,m7c7,m7c8,m7c9,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m7c17,m7c18,m7c19,m7c20a,m7c20b,m7c21,m7c22,m7c23,m7c23a,m7c24,m7c241,m7c242,m7c25,m7c251,m7c252,m7c253,m7c254,m7c26,m7c27,m7c27a,m7c28,m7c29,m7c30,m7c31,m7c32,m7c33,m7c34,m7c35,m7c36,m7c37,m7c38,m7c39,m7c391,m7c40,m7c41,m7c42,m7c43,m7c44
101,6,1.0,10,13,1,30.0,4.0,2001.0,4.0,1.0,2.0,,,,,300000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,360.0,1,1,1,1200.0,1,1,144.0,,1704,2,,,
101,6,1.0,10,14,1,40.0,4.0,1989.0,,1.0,2.0,,,,,400000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,4,2.0,1.0,1,4,2.0,2,,1,1,1,720.0,1,1,192.0,,912,2,,,
101,6,1.0,10,19,1,40.0,3.0,1998.0,,1.0,2.0,,,,,600000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,480.0,1,1,1,1800.0,1,1,180.0,,2460,2,,,
101,6,7.0,17,13,1,60.0,4.0,1983.0,,1.0,2.0,,,,,1200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,60.0,1,1,1,1200.0,1,1,144.0,,1404,2,,,
101,6,7.0,17,14,1,100.0,4.0,1984.0,,1.0,2.0,,,,,2200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,1.0,1,360.0,1,1,1,380.0,1,1,96.0,,836,2,,,
101,6,7.0,17,19,1,48.0,4.0,2003.0,4.0,1.0,2.0,,,,,700000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,1,250.0,1,1,1,1200.0,1,1,96.0,,1546,2,,,
101,6,11.0,12,13,2,100.0,4.0,1986.0,,1.0,2.0,,,,,800000.0,2.0,,,,,,2.0,,,,1.0,18500.0,18500.0,0.0,,,0.0,,,,,1,,,1,4,2.0,1,240.0,1,1,1,1400.0,1,1,252.0,,20392,2,,,
101,6,11.0,12,14,1,30.0,4.0,1993.0,,1.0,2.0,,,,,200000.0,2.0,,,,,,2.0,,,,2.0,,,0.0,,,0.0,,,,,1,,,1,4,2.0,2,,1,1,1,480.0,1,1,36.0,,516,2,,,
101,6,11.0,12,15,1,35.0,4.0,2008.0,3.0,1.0,2.0,,,,,200000.0,2.0,,,,,,2.0,,,,1.0,100000.0,100000.0,0.0,,,0.0,,,,,4,2.0,1.0,1,4,2.0,2,,1,1,1,500.0,1,1,108.0,,100608,2,,,
101,6,21.0,13,13,1,75.0,4.0,1999.0,,1.0,2.0,,,,,1150000.0,2.0,,,,,,1.0,9.0,1985.0,,2.0,,,0.0,,,0.0,,,,,1,,,1,1,,1,480.0,1,1,1,1800.0,1,1,144.0,,2424,1,1.0,12.0,-1.0
