tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
607,3,3.0,27,15,1,1,2,2,1,,42.0,61.0,12.0,26.0,8.0,14.0,4.0,1.0,27907.0,4341.0,0.0,0.0,0.0,7020.0,11361,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,3.0,27,15,2,2,2,1,1,,74.0,14.0,12.0,29.0,8.0,10.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,3.0,27,15,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,13,1,2,1,2,1,,61.0,1.0,12.0,22.0,8.0,28.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,13,2,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,28.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,5.0,2,13,3,2,1,2,1,,92.0,1.0,12.0,22.0,8.0,10.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,13,4,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,8.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,13,5,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,6.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,13,6,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,13,7,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,13,8,2,1,2,1,,92.0,1.0,8.0,20.0,8.0,1.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,5.0,2,14,1,1,1,2,1,,61.0,1.0,10.0,25.0,7.0,15.0,2.0,,,,,,,,0,1.0,71.0,41.0,1.0,20.0,8.0,4.0,3.0,3379.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,2,
607,3,5.0,2,14,2,1,1,2,1,,93.0,10.0,8.0,6.0,6.0,10.0,3.0,,6307.0,0.0,0.0,0.0,0.0,0.0,0,1.0,92.0,1.0,3.0,15.0,6.0,12.0,2.0,,,,,,,0,2.0,,,1,4.0
607,3,5.0,2,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,15,1,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,10.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,15,2,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,10.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,2.0
607,3,5.0,2,15,3,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,6.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,15,4,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1.0
607,3,5.0,2,15,5,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,5.0,2,15,6,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,14,1,2,1,1,1,,83.0,49.0,12.0,28.0,5.0,25.0,2.0,,,,,,,,0,1.0,61.0,1.0,12.0,25.0,4.0,25.0,2.0,,,,,,,0,2.0,,,1,1.0
607,3,7.0,11,14,2,2,2,1,1,,52.0,47.0,12.0,28.0,12.0,35.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,14,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,14,4,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,14,5,2,2,1,1,,83.0,49.0,12.0,25.0,10.0,2.0,2.0,,,,,,,,0,2.0,,,,,,,,,,,,,,0,,,,1,4.0
607,3,7.0,11,14,6,2,2,2,2,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,15,1,2,1,2,1,,92.0,1.0,12.0,20.0,8.0,6.0,2.0,,,,,,,,0,1.0,92.0,1.0,12.0,30.0,1.0,4.0,2.0,,,,,,,0,2.0,,,1,2.0
607,3,7.0,11,15,2,2,1,2,1,,92.0,1.0,11.0,20.0,8.0,6.0,2.0,,,,,,,,0,1.0,92.0,1.0,12.0,30.0,1.0,4.0,2.0,,,,,,,0,2.0,,,2,
607,3,7.0,11,15,3,1,2,2,1,,52.0,82.0,12.0,26.0,8.0,4.0,6.0,,24806.0,1240.0,0.0,0.0,0.0,186.0,1426,2.0,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,15,4,2,2,2,2,7.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
607,3,7.0,11,15,5,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
607,3,7.0,11,19,1,2,2,2,2,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2.0
607,3,7.0,11,19,2,1,2,2,1,,93.0,10.0,12.0,20.0,9.0,10.0,3.0,,7850.0,131.0,0.0,0.0,0.0,218.0,349,1.0,91.0,97.0,4.0,10.0,9.0,9.0,3.0,654.0,0.0,0.0,0.0,0.0,0.0,0,2.0,,,1,3.0
607,3,11.0,21,13,1,2,1,1,1,,61.0,1.0,10.0,20.0,7.0,12.0,1.0,,,,,,,,0,1.0,82.0,1.0,2.0,20.0,5.0,10.0,1.0,,,,,,,0,1.0,2.0,,1,1.0
607,3,11.0,21,13,2,2,1,1,1,,92.0,1.0,10.0,18.0,7.0,12.0,1.0,,,,,,,,0,1.0,52.0,47.0,2.0,30.0,10.0,10.0,1.0,,,,,,,0,2.0,,,1,3.0
607,3,11.0,21,13,3,2,2,2,2,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
