tinh,huyen,xa,diaban,hoso,m6ama,m6ama1,m6ac3,m6ac4a,m6ac4b,m6ac5,m6ac6,m6ac7
103,5,24.0,27,14,20.0,,1.0,0.0,2004.0,5000.0,3000.0,100.0
103,5,24.0,27,15,,,,,,,,
103,5,27.0,27,14,,,,,,,,
103,5,27.0,27,15,,,,,,,,
103,5,27.0,27,23,,,,,,,,
103,7,1.0,21,13,,,,,,,,
103,7,1.0,21,15,,,,,,,,
103,7,1.0,21,19,,,,,,,,
103,7,7.0,3,13,,,,,,,,
103,7,7.0,3,14,13.0,,1.0,0.0,2000.0,150000.0,200000.0,100.0
103,7,7.0,3,14,16.0,,1.0,2.0,2008.0,50000.0,50000.0,100.0
103,7,7.0,3,15,,,,,,,,
103,7,13.0,18,13,,,,,,,,
103,7,13.0,18,14,,,,,,,,
103,7,13.0,18,15,,,,,,,,
103,9,3.0,8,13,,,,,,,,
103,9,3.0,8,14,37.0,,1.0,0.0,2000.0,43200.0,5000.0,100.0
103,9,3.0,8,14,23.0,,1.0,0.0,2000.0,98000.0,50000.0,100.0
103,9,3.0,8,15,35.0,,4.0,0.0,2003.0,10000.0,6000.0,100.0
103,9,3.0,8,15,35.0,,1.0,0.0,2000.0,1800.0,500.0,100.0
103,10,7.0,7,13,,,,,,,,
103,10,7.0,7,14,,,,,,,,
103,10,7.0,7,25,,,,,,,,
103,10,39.0,1,13,,,,,,,,
103,10,39.0,1,14,,,,,,,,
103,10,39.0,1,15,2.0,,1.0,0.0,1996.0,17000.0,35000.0,100.0
103,10,39.0,1,15,33.0,,1.0,0.0,1999.0,500.0,150.0,100.0
103,10,39.0,1,15,13.0,,1.0,0.0,1998.0,10000.0,5000.0,100.0
103,10,39.0,1,15,21.0,,1.0,0.0,1990.0,1200.0,300.0,100.0
103,10,39.0,1,15,62.0,,1.0,0.0,2000.0,5000.0,1500.0,100.0
103,10,39.0,1,15,28.0,,1.0,0.0,2000.0,3600.0,1600.0,100.0
103,11,5.0,13,14,,,,,,,,
103,11,5.0,13,15,14.0,,1.0,0.0,2006.0,7000.0,6000.0,100.0
103,11,5.0,13,19,8.0,,1.0,0.0,2005.0,5000.0,4000.0,100.0
103,11,7.0,3,13,6.0,,1.0,0.0,2003.0,500.0,1300.0,100.0
103,11,7.0,3,13,1.0,,1.0,0.0,1991.0,2000.0,7500.0,100.0
103,11,7.0,3,13,17.0,,1.0,9.0,2007.0,5000.0,4550.0,20.0
103,11,7.0,3,13,8.0,,1.0,0.0,1998.0,2800.0,4000.0,100.0
103,11,7.0,3,14,1.0,,1.0,0.0,1970.0,2000.0,5000.0,100.0
103,11,7.0,3,15,5.0,,1.0,0.0,1998.0,2000.0,6000.0,88.0
103,11,7.0,3,15,8.0,,1.0,0.0,1998.0,1100.0,300.0,100.0
