tinh,huyen,xa,diaban,hoso,total_hours_x,total_income_x,num_workers_x,hsize_x,hsize_y,avg_hours_per_worker_x,normalized_hours_x,total_hours_y,total_income_y,num_workers_y,avg_hours_per_worker_y,normalized_hours_y,avg_consumption_per_member
101,17,27.0,7,14,1764.0,11515.0,1,4.0,4,1764.0,0.42403846153846153,1764.0,11515.0,1,1764.0,0.42403846153846153,11162.099999999999
101,17,31.0,13,14,1880.0,5937.0,1,3.0,3,1880.0,0.4519230769230769,1880.0,5937.0,1,1880.0,0.4519230769230769,12952.666666666666
101,17,33.0,15,14,4640.0,74387.0,2,4.0,4,2320.0,0.5576923076923077,4640.0,74387.0,2,2320.0,0.5576923076923077,9343.2
101,17,33.0,15,15,4772.0,32451.0,2,4.0,4,2386.0,0.5735576923076923,4772.0,32451.0,2,2386.0,0.5735576923076923,4646.125
101,17,35.0,16,14,2112.0,62448.0,1,5.0,5,2112.0,0.5076923076923077,2112.0,62448.0,1,2112.0,0.5076923076923077,15947.36
101,17,35.0,16,15,4512.0,85775.0,2,4.0,4,2256.0,0.5423076923076923,4512.0,85775.0,2,2256.0,0.5423076923076923,10411.1
101,17,37.0,23,13,5256.0,38122.0,2,4.0,4,2628.0,0.6317307692307692,5256.0,38122.0,2,2628.0,0.6317307692307692,7585.525000000001
101,17,37.0,23,14,4035.0,18830.0,2,4.0,4,2017.5,0.48497596153846156,4035.0,18830.0,2,2017.5,0.48497596153846156,3345.8
101,17,37.0,23,15,3168.0,18745.0,1,5.0,5,3168.0,0.7615384615384615,3168.0,18745.0,1,3168.0,0.7615384615384615,5912.64
101,17,39.0,9,14,2536.0,15336.0,1,4.0,4,2536.0,0.6096153846153847,2536.0,15336.0,1,2536.0,0.6096153846153847,9523.875
101,17,39.0,9,15,2400.0,18756.0,1,4.0,4,2400.0,0.5769230769230769,2400.0,18756.0,1,2400.0,0.5769230769230769,9412.625
101,19,17.0,20,14,4992.0,30603.0,2,4.0,4,2496.0,0.6,4992.0,30603.0,2,2496.0,0.6,6014.575
101,19,17.0,20,15,6084.0,67131.0,3,5.0,5,2028.0,0.4875,6084.0,67131.0,3,2028.0,0.4875,10384.579999999998
101,19,55.0,8,15,5408.0,46250.0,3,6.0,6,1802.6666666666667,0.43333333333333335,5408.0,46250.0,3,1802.6666666666667,0.43333333333333335,12364.199999999999
101,21,5.0,18,15,1936.0,36115.0,1,4.0,4,1936.0,0.4653846153846154,1936.0,36115.0,1,1936.0,0.4653846153846154,10381.650000000001
101,21,13.0,9,14,2640.0,14969.0,1,4.0,4,2640.0,0.6346153846153846,2640.0,14969.0,1,2640.0,0.6346153846153846,11244.05
101,21,23.0,13,20,4800.0,92754.0,2,5.0,5,2400.0,0.5769230769230769,4800.0,92754.0,2,2400.0,0.5769230769230769,14722.84
